코로나,마스크,year,month,day,백신
0,3,2019,2,3,0
0,3,2019,2,10,0
0,4,2019,2,17,1
0,4,2019,2,24,1
0,12,2019,3,3,0
0,5,2019,3,10,1
0,4,2019,3,17,1
0,5,2019,3,24,1
0,4,2019,3,31,1
0,4,2019,4,7,1
0,4,2019,4,14,1
0,4,2019,4,21,1
0,3,2019,4,28,1
0,3,2019,5,5,1
0,4,2019,5,12,1
0,4,2019,5,19,1
0,4,2019,5,26,1
0,3,2019,6,2,1
0,3,2019,6,9,1
0,3,2019,6,16,1
0,3,2019,6,23,1
0,3,2019,6,30,0
0,3,2019,7,7,1
0,3,2019,7,14,1
0,3,2019,7,21,0
0,3,2019,7,28,1
0,3,2019,8,4,0
0,3,2019,8,11,1
0,3,2019,8,18,1
0,4,2019,8,25,1
0,3,2019,9,1,1
0,3,2019,9,8,1
0,3,2019,9,15,1
0,3,2019,9,22,1
0,3,2019,9,29,1
0,3,2019,10,6,1
0,3,2019,10,13,1
0,3,2019,10,20,1
0,3,2019,10,27,1
0,4,2019,11,3,1
0,4,2019,11,10,1
0,3,2019,11,17,1
0,3,2019,11,24,1
0,3,2019,12,1,1
0,4,2019,12,8,1
0,4,2019,12,15,1
0,6,2019,12,22,1
0,4,2019,12,29,1
0,4,2020,1,5,1
0,3,2020,1,12,1
3,5,2020,1,19,1
20,30,2020,1,26,3
24,28,2020,2,2,2
12,15,2020,2,9,1
47,29,2020,2,16,2
88,94,2020,2,23,3
51,100,2020,3,1,2
50,91,2020,3,8,2
46,43,2020,3,15,2
45,31,2020,3,22,2
56,28,2020,3,29,2
100,27,2020,4,5,2
89,17,2020,4,12,2
63,19,2020,4,19,2
28,16,2020,4,26,1
30,18,2020,5,3,2
32,19,2020,5,10,2
23,18,2020,5,17,3
23,19,2020,5,24,2
21,23,2020,5,31,1
19,20,2020,6,7,2
19,18,2020,6,14,1
19,18,2020,6,21,2
20,18,2020,6,28,2
18,19,2020,7,5,2
16,17,2020,7,12,2
15,13,2020,7,19,3
13,13,2020,7,26,2
25,11,2020,8,2,2
15,12,2020,8,9,3
36,19,2020,8,16,3
37,24,2020,8,23,3
27,18,2020,8,30,3
22,19,2020,9,6,3
18,14,2020,9,13,3
15,11,2020,9,20,3
13,8,2020,9,27,2
12,12,2020,10,4,2
13,10,2020,10,11,2
12,9,2020,10,18,7
12,11,2020,10,25,4
10,10,2020,11,1,2
13,13,2020,11,8,5
22,11,2020,11,15,4
29,11,2020,11,22,4
27,11,2020,11,29,4
33,11,2020,12,6,5
40,11,2020,12,13,6
32,9,2020,12,20,6
27,9,2020,12,27,5
22,8,2021,1,3,4
19,8,2021,1,10,4
16,8,2021,1,17,4
16,8,2021,1,24,4
13,8,2021,1,31,4
12,8,2021,2,7,4
14,9,2021,2,14,5
12,9,2021,2,21,8
11,8,2021,2,28,9
11,8,2021,3,7,8
11,8,2021,3,14,7
11,8,2021,3,21,7
12,9,2021,3,28,8
16,9,2021,4,4,7
14,8,2021,4,11,10
14,9,2021,4,18,11
15,9,2021,4,25,12
13,9,2021,5,2,12
17,9,2021,5,9,18
14,8,2021,5,16,13
14,8,2021,5,23,21
16,9,2021,5,30,36
13,8,2021,6,6,27
11,8,2021,6,13,26
26,8,2021,6,20,48
12,8,2021,6,27,15
29,8,2021,7,4,19
39,8,2021,7,11,56
47,9,2021,7,18,100
23,8,2021,7,25,23
23,8,2021,8,1,36
33,9,2021,8,8,70
26,8,2021,8,15,52
19,8,2021,8,22,27
19,8,2021,8,29,23
21,8,2021,9,5,28
16,8,2021,9,12,28
15,7,2021,9,19,23
18,8,2021,9,26,28
14,8,2021,10,3,23
13,7,2021,10,10,19
14,7,2021,10,17,25
15,9,2021,10,24,27
15,8,2021,10,31,19
14,8,2021,11,7,15
12,8,2021,11,14,13
16,8,2021,11,21,13
19,8,2021,11,28,16
21,9,2021,12,5,21
25,8,2021,12,12,39
19,10,2021,12,19,26
16,9,2021,12,26,20
11,8,2022,1,2,19
11,7,2022,1,9,16
10,8,2022,1,16,11
14,8,2022,1,23,11
15,7,2022,1,30,9
